ProdNbr_c,Commodity_c,FunctionDesignation_c,ProdName_c,ProdNetWeight_n,ProdNetWeightNbr_n,ManId_c,ManDesignation_c,MC_n,ManStatus_c,ROHSStatus_c,SolderingProcess_c,MaxSolderingTemp_n,ASGId_n,LeadTime_n,LeadTimewithForecast_n,SupplierManufacturingRisk_n,SupplierAggregatedRisk_n,CommercialAggregatedRisk_n,TechnicalAggregatedRisk_n,RecoveryTimeweeks_n,Rampuptimetofullproductionfromfirstdeliveryweeks_n,MRPVol_n,AvgPriceLatestYearUSD_n,Volume_n,target_c
36,6,326,5,97275.0,10000.0,22,607,1,1,1,2,260.0,20668.0,0,0,0,0,0,0,0,0,1728.0,1.48,0,3
37,6,106,5,124002725.0,10000000.0,32,282,1,1,1,0,0,18167.0,154.0,10.0,4.0,2.0,2.0,2.0,8.0,2.0,74.0,1.0924200000000002,4250.0,4
38,5,112,5,1378.0,100.0,17,418,1,1,0,0,0,20475.0,35.0,6.0,2.0,1.0,0,1.0,2.0,2.0,0,0,0,4
38,5,112,5,1378.0,100.0,53,74,1,1,1,1,260.0,0,0,0,0,0,0,0,0,0,0,0,0,4
39,6,122,5,2023.0,100.0,51,499,6,1,1,1,255.0,2941.0,0,0,0,0,0,0,0,0,0,9.663839999999999,624.0,3
39,6,122,5,2023.0,100.0,51,501,1,1,1,0,0,2941.0,40.0,5.0,2.0,1.0,1.0,1.0,10.0,2.0,0,9.663839999999999,624.0,3
39,6,122,5,2023.0,100.0,51,500,6,1,1,0,0,2941.0,0,0,0,0,0,0,0,0,0,9.663839999999999,624.0,2
40,6,165,19,138.0,10.0,42,425,1,1,1,0,0,96.0,30.0,5.0,4.0,2.0,1.0,1.0,6.0,4.0,2472412.0,0.8471799999999999,832735.0,1
40,6,165,19,138.0,10.0,42,424,6,1,1,0,0,96.0,0,0,0,0,0,0,0,0,2472412.0,0.8471799999999999,832735.0,1
40,6,165,19,138.0,10.0,75,652,1,1,1,0,0,20098.0,0,0,0,0,0,0,0,0,2472412.0,0.8471799999999999,0,1
40,6,165,19,138.0,10.0,71,560,1,1,1,0,0,20668.0,40.0,20.0,4.0,1.0,1.0,1.0,8.0,2.0,2472412.0,0.8471799999999999,832735.0,1
41,6,61,5,148737.0,10000.0,51,527,1,1,1,0,0,2941.0,0,0,2.0,1.0,0,1.0,10.0,2.0,0,0,0,2
42,6,115,5,142635593.0,10000000.0,32,278,1,1,1,0,0,18167.0,70.0,10.0,4.0,2.0,2.0,2.0,8.0,2.0,347.0,5.95,341.0,3
43,6,114,5,749716.0,100000.0,32,149,1,1,1,0,0,18167.0,0,0,3.0,2.0,0,2.0,4.0,2.0,0,0,0,3
44,6,141,5,135565.0,10000.0,33,461,0,1,1,0,0,20433.0,0,0,0,0,0,0,0,0,0,0,0,4
45,2,400,5,0,0,41,73,1,1,1,0,0,3139.0,0,0,0,0,0,0,0,0,0,0,0,4
46,6,401,5,227.0,100.0,42,442,0,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,15144.0,3.51459,1944.0,2
46,6,401,5,227.0,100.0,74,442,1,1,1,1,260.0,96.0,0,0,0,0,0,0,0,0,15144.0,3.51459,1944.0,2
46,6,401,5,227.0,100.0,74,662,2,1,1,1,250.0,96.0,0,0,0,0,0,0,0,0,15144.0,3.51459,1944.0,2
47,6,113,18,20.0,1.0,51,651,4,1,1,0,0,2941.0,0,0,0,0,0,0,0,0,0,0,0,4
48,6,402,5,0,0,55,606,1,1,1,0,0,18167.0,99.0,10.0,3.0,2.0,2.0,2.0,7.0,7.0,759.0,3.11441,590.0,2
49,6,54,5,0,0,73,588,1,1,1,0,230.0,96.0,0,0,0,0,0,0,0,0,1.0,2.4294599999999997,0,4
49,6,54,5,0,0,51,482,1,1,1,0,0,2941.0,40.0,5.0,2.0,1.0,1.0,1.0,10.0,2.0,1.0,2.4294599999999997,100.0,4
49,6,54,5,0,0,50,462,1,1,1,0,0,20433.0,0,0,0,0,0,0,0,0,1.0,2.4294599999999997,0,4
50,6,53,5,1.0,1.0,5,6,1,1,1,0,0,70.0,0,0,0,0,0,0,0,0,0,0,0,4
50,6,53,5,1.0,1.0,73,563,1,1,1,0,230.0,96.0,40.0,10.0,4.0,2.0,0,1.0,8.0,3.0,0,0,0,4
50,6,53,5,1.0,1.0,51,491,1,1,1,0,0,2941.0,0,0,0,0,0,0,0,0,0,0,0,4
51,6,241,5,1.0,1.0,62,271,1,1,1,0,0,18167.0,40.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,380.0,0.20836999999999997,1088.0,4
52,6,241,5,1.0,1.0,62,263,1,1,1,0,0,18167.0,63.0,10.0,4.0,2.0,0,2.0,8.0,2.0,0,0,0,4
53,6,241,5,0,0,58,231,1,1,1,0,260.0,9422.0,42.0,21.0,1.0,1.0,1.0,1.0,1.0,1.0,2708.0,2.04908,1894.0,4
54,6,290,5,0,0,62,274,1,1,1,0,0,18167.0,103.0,10.0,3.0,2.0,0,2.0,8.0,2.0,0,0,0,4
55,6,264,5,1.0,1.0,58,222,1,1,1,0,260.0,9422.0,47.0,24.0,3.0,2.0,0,1.0,8.0,2.0,0,0,0,4
55,6,264,5,1.0,1.0,62,300,1,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,0,0,0,4
56,6,267,5,1.0,1.0,58,223,1,1,1,0,260.0,9422.0,0,0,0,0,0,0,0,0,172.0,5.32049,0,4
56,6,267,5,1.0,1.0,62,261,1,1,1,0,0,18167.0,65.0,10.0,4.0,2.0,2.0,1.0,4.0,2.0,172.0,5.32049,221.0,4
57,6,269,5,1.0,1.0,73,628,1,1,1,0,0,96.0,40.0,10.0,4.0,2.0,2.0,2.0,8.0,3.0,848.0,0.99959,224.0,4
58,6,178,5,2013.0,1000.0,73,596,1,1,1,1,260.0,96.0,0,0,4.0,2.0,2.0,2.0,8.0,3.0,579.0,0.49453,2001.0,4
59,6,265,5,0,0,66,591,1,1,1,0,0,12820.0,80.0,70.0,2.0,2.0,2.0,1.0,4.0,2.0,6320.0,12.3,6540.0,4
60,6,290,5,0,0,73,637,1,1,1,0,0,96.0,40.0,10.0,4.0,2.0,0,2.0,8.0,3.0,0,0,0,4
60,6,290,5,0,0,73,634,6,1,1,0,0,96.0,0,0,0,0,0,0,0,0,0,0,0,4
61,6,284,5,1.0,1.0,73,640,1,1,1,0,0,96.0,40.0,10.0,4.0,2.0,0,2.0,8.0,3.0,0,0,0,4
62,6,283,5,18476.0,1000.0,73,636,1,1,1,0,0,96.0,0,0,0,0,0,0,0,0,0,0,0,4
63,6,177,5,1.0,1.0,62,302,1,1,1,1,260.0,18167.0,40.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,290.0,0.41472,16800.0,4
64,6,275,5,1.0,1.0,62,309,1,1,1,0,0,18167.0,63.0,10.0,3.0,2.0,2.0,2.0,8.0,2.0,200.0,3.54025,1125.0,4
64,6,275,5,1.0,1.0,62,56,4,1,1,0,0,18167.0,0,0,0,0,0,0,0,0,200.0,3.54025,1125.0,4
65,6,245,5,1.0,1.0,73,630,1,1,1,0,0,96.0,40.0,10.0,4.0,2.0,2.0,1.0,8.0,3.0,460.0,1.93605,1680.0,4
65,6,245,5,1.0,1.0,73,629,4,1,1,0,0,96.0,0,0,0,0,0,0,0,0,460.0,1.93605,1680.0,4
65,6,245,5,1.0,1.0,23,559,4,1,1,0,260.0,301.0,0,0,0,0,0,0,0,0,460.0,1.93605,0,4
65,6,245,5,1.0,1.0,66,1,1,1,1,0,0,12820.0,0,0,0,0,0,0,0,0,460.0,1.93605,0,4
